mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
14	14	14	14a	111/2	111/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		4	76	E5	5	177
15	15	15	15a	56	56	2.0		0	0	4/4	2	2	1/2		1/2	1		2	62	D4	4	196
15	15	15	15a	56	56	1.0		0	0	4/4	1	1	1/4		1/4	1		2	74	D5	5	186
15	15	15	15a	113/2	113/2	0.5		1/8	1/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	190
15	15	15	15a	113/2	113/2	0.5		1/8	1/8	4/4	2	1	1/8		1/8	1		3	69	A4	4	190
15	15	15	15a	57	57	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		-1	65	F4	4	191
15	15	15	15a	57	57	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		3	69	A4	4	191
15	15	15	15a	115/2	115/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	192
15	15	15	15a	115/2	115/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		3	69	A4	4	192
15	15	15	15a	231/4	231/4	0.25		7/16	7/16	4/4	1	1	1/16		1/16	1		4	76	E5	5	187
15	15	15	15a	58	58	2.0		1/2	1/2	4/4	2	2	1/2		1/2	1		2	62	D4	4	197
15	15	15	15a	58	58	0.5		1/2	1/2	4/4	1	1	1/8		1/8	1		1	79	G5	5	188
15	15	15	15a	117/2	117/2	0.5		5/8	5/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	193
15	15	15	15a	117/2	117/2	0.5		5/8	5/8	4/4	2	1	1/8		1/8	1		3	69	A4	4	193
15	15	15	15a	117/2	117/2	0.5		5/8	5/8	4/4	1	1	1/8		1/8	1		-1	77	F5	5	189
15	15	15	15a	59	59	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		-1	65	F4	4	194
15	15	15	15a	59	59	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		3	69	A4	4	194
15	15	15	15a	119/2	119/2	0.5		7/8	7/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	195
15	15	15	15a	119/2	119/2	0.5		7/8	7/8	4/4	2	1	1/8		1/8	1		3	69	A4	4	195
16	16	16	16a	60	60	2.0		0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	198
